column_a,trans_id,account_id,type,operation,amount,balance,k_symbol,bank,account,year,month,day,date,fulldate,fulltime,fulldatewithtime
1318,T00529776,A00001806,Credit,Collection from Another Bank,5029.0,15487.0,Old Age Pension,Bank of New York Mellon Corp.,39912659,2013,4,5,2013-04-05,2013-04-05,09:51:32,2013-04-05T09:51:32
1319,T00224346,A00000764,Credit,Collection from Another Bank,6238.0,19814.0,Old Age Pension,Bank of New York Mellon Corp.,30560720,2013,4,5,2013-04-05,2013-04-05,16:02:49,2013-04-05T16:02:49
1320,T00232964,A00000793,Credit,Collection from Another Bank,3401.0,14454.2,,Goldman Sachs,6149286,2013,4,5,2013-04-05,2013-04-05,14:59:02,2013-04-05T14:59:02
1321,T01163705,A00003983,Debit,Cash Withdrawal,1000.0,29120.4,,,,2013,4,5,2013-04-05,2013-04-05,11:36:33,2013-04-05T11:36:33
1322,T02798253,A00009265,Debit,Cash Withdrawal,13000.0,34354.3,,,,2013,4,5,2013-04-05,2013-04-05,15:05:25,2013-04-05T15:05:25
1323,T00590838,A00002011,Credit,Collection from Another Bank,3016.0,3916.0,,U.S. Bancorp,35820675,2013,4,5,2013-04-05,2013-04-05,08:57:38,2013-04-05T08:57:38
1324,T00851329,A00002902,Credit,Credit in Cash,20213.0,56152.2,,,,2013,4,5,2013-04-05,2013-04-05,14:19:04,2013-04-05T14:19:04
1325,T00192368,A00000652,Debit,Cash Withdrawal,7800.0,32867.5,,,,2013,4,5,2013-04-05,2013-04-05,09:24:52,2013-04-05T09:24:52
1326,T03393742,A00011265,Credit,Credit in Cash,7618.0,32990.3,,,,2013,4,5,2013-04-05,2013-04-05,10:51:21,2013-04-05T10:51:21
1327,T00101390,A00000346,Credit,Credit in Cash,19935.0,54090.9,,,,2013,4,5,2013-04-05,2013-04-05,15:11:10,2013-04-05T15:11:10
1328,T00088590,A00000299,Credit,Credit in Cash,600.0,600.0,,,,2013,4,5,2013-04-05,2013-04-05,16:43:06,2013-04-05T16:43:06
1329,T00710070,A00002429,Credit,Credit in Cash,14609.0,34983.5,,,,2013,4,5,2013-04-05,2013-04-05,12:12:33,2013-04-05T12:12:33
1330,T00711474,A00002433,Credit,Collection from Another Bank,4718.0,9936.0,Old Age Pension,PNC Financial Services,98568486,2013,4,5,2013-04-05,2013-04-05,09:46:13,2013-04-05T09:46:13
1331,T00733698,A00002508,Credit,Collection from Another Bank,4271.0,4971.0,Old Age Pension,Bank of America,12963879,2013,4,6,2013-04-06,2013-04-06,12:33:00,2013-04-06T12:33:00
1332,T00730405,A00002497,Credit,Credit in Cash,5956.0,6256.0,,,,2013,4,6,2013-04-06,2013-04-06,16:20:05,2013-04-06T16:20:05
1333,T00655856,A00002242,Credit,Collection from Another Bank,43493.0,79710.3,,Bank of America,7862908,2013,4,6,2013-04-06,2013-04-06,08:55:15,2013-04-06T08:55:15
1334,T00333300,A00001134,Credit,Credit in Cash,11970.0,32598.1,,,,2013,4,6,2013-04-06,2013-04-06,14:00:14,2013-04-06T14:00:14
1335,T00336635,A00001144,Credit,Collection from Another Bank,3375.0,10325.0,,Wells Fargo & Co.,1589578,2013,4,6,2013-04-06,2013-04-06,16:29:22,2013-04-06T16:29:22
1336,T00144777,A00000485,Debit,Remittance to Another Bank,1591.0,46877.0, ,Charles Schwab Corp.,56978738,2013,4,6,2013-04-06,2013-04-06,12:41:42,2013-04-06T12:41:42
1337,T00137467,A00000461,Credit,Collection from Another Bank,6388.0,13376.0,Old Age Pension,State Street Corp.,91520028,2013,4,6,2013-04-06,2013-04-06,10:52:10,2013-04-06T10:52:10
1338,T01149995,A00003935,Credit,Collection from Another Bank,21736.0,22736.0,,Morgan Stanley,32445126,2013,4,6,2013-04-06,2013-04-06,11:42:45,2013-04-06T11:42:45
1339,T03331514,A00011065,Credit,Credit in Cash,11855.0,12955.0,,,,2013,4,6,2013-04-06,2013-04-06,15:50:46,2013-04-06T15:50:46
1340,T00125501,A00000423,Credit,Collection from Another Bank,2913.0,3413.0,,PNC Financial Services,1514268,2013,4,6,2013-04-06,2013-04-06,08:46:29,2013-04-06T08:46:29
1341,T00117091,A00000395,Credit,Credit in Cash,22054.0,22454.0,,,,2013,4,6,2013-04-06,2013-04-06,14:34:21,2013-04-06T14:34:21
1342,T00122541,A00000411,Debit,Cash Withdrawal,6400.0,34066.8,,,,2013,4,6,2013-04-06,2013-04-06,11:60:39,2013-04-06T11:60:39
1343,T00119439,A00000401,Credit,Credit in Cash,12817.0,39077.1,,,,2013,4,6,2013-04-06,2013-04-06,11:24:36,2013-04-06T11:24:36
1344,T00260045,A00000890,Credit,Credit in Cash,200.0,25792.2,,,,2013,4,6,2013-04-06,2013-04-06,16:49:58,2013-04-06T16:49:58
1345,T00727560,A00002488,Credit,Credit in Cash,400.0,400.0,,,,2013,4,6,2013-04-06,2013-04-06,10:47:23,2013-04-06T10:47:23
1346,T00566015,A00001926,Debit,Cash Withdrawal,400.0,26388.3,,,,2013,4,6,2013-04-06,2013-04-06,08:39:47,2013-04-06T08:39:47
1347,T00058948,A00000197,Credit,Credit in Cash,21718.0,44951.6,,,,2013,4,6,2013-04-06,2013-04-06,13:22:20,2013-04-06T13:22:20
1348,T00057437,A00000192,Credit,Collection from Another Bank,5859.0,17877.0,Old Age Pension,Wells Fargo & Co.,15384018,2013,4,6,2013-04-06,2013-04-06,11:43:42,2013-04-06T11:43:42
1349,T00876077,A00002985,Credit,Credit in Cash,400.0,400.0,,,,2013,4,6,2013-04-06,2013-04-06,13:30:09,2013-04-06T13:30:09
1350,T00883007,A00003008,Credit,Collection from Another Bank,6934.0,14068.0,Old Age Pension,TD Bank,33148783,2013,4,6,2013-04-06,2013-04-06,11:36:54,2013-04-06T11:36:54
1351,T00275310,A00000943,Credit,Collection from Another Bank,3217.0,10481.5,,PNC Financial Services,70103525,2013,4,6,2013-04-06,2013-04-06,08:40:03,2013-04-06T08:40:03
1352,T01163524,A00003983,Credit,Credit in Cash,14626.0,43746.4,,,,2013,4,6,2013-04-06,2013-04-06,16:12:40,2013-04-06T16:12:40
1353,T00285076,A00000979,Credit,Credit in Cash,17914.0,38065.8,,,,2013,4,6,2013-04-06,2013-04-06,11:13:24,2013-04-06T11:13:24
1354,T00286584,A00000982,Credit,Credit in Cash,400.0,23234.3,,,,2013,4,6,2013-04-06,2013-04-06,16:19:50,2013-04-06T16:19:50
1355,T00286076,A00000982,Credit,Credit in Cash,4550.0,22834.3,,,,2013,4,6,2013-04-06,2013-04-06,11:14:21,2013-04-06T11:14:21
1356,T01132666,A00003871,Credit,Collection from Another Bank,4356.0,13368.0,Old Age Pension,Wells Fargo & Co.,31564527,2013,4,6,2013-04-06,2013-04-06,14:38:01,2013-04-06T14:38:01
1357,T00840175,A00002861,Credit,Collection from Another Bank,5915.0,12130.0,Old Age Pension,Capital One,10531437,2013,4,6,2013-04-06,2013-04-06,11:47:25,2013-04-06T11:47:25
1358,T01578992,A00005369,Credit,Credit in Cash,5643.0,21796.8,,,,2013,4,6,2013-04-06,2013-04-06,15:48:38,2013-04-06T15:48:38
1359,T01935495,A00006555,Credit,Credit in Cash,8763.0,53545.5,,,,2013,4,6,2013-04-06,2013-04-06,09:53:38,2013-04-06T09:53:38
1360,T00506454,A00001730,Credit,Collection from Another Bank,6689.0,20967.0,Old Age Pension,Capital One,43294817,2013,4,6,2013-04-06,2013-04-06,08:40:35,2013-04-06T08:40:35
1361,T00192922,A00000655,Credit,Credit in Cash,23625.0,24625.0,,,,2013,4,6,2013-04-06,2013-04-06,11:13:18,2013-04-06T11:13:18
1362,T02524760,A00008330,Credit,Credit in Cash,21118.0,21718.0,,,,2013,4,6,2013-04-06,2013-04-06,12:30:13,2013-04-06T12:30:13
1363,T00105737,A00000361,Credit,Credit in Cash,23638.0,49486.4,,,,2013,4,6,2013-04-06,2013-04-06,13:36:19,2013-04-06T13:36:19
1364,T00185062,A00000627,Debit,Cash Withdrawal,10800.0,35420.3,,,,2013,4,6,2013-04-06,2013-04-06,13:05:16,2013-04-06T13:05:16
1365,T00655276,A00002241,Credit,Credit in Cash,11584.0,32128.6,,,,2013,4,7,2013-04-07,2013-04-07,09:19:26,2013-04-07T09:19:26
1366,T00695342,A00002378,Debit,Remittance to Another Bank,9612.0,24585.6,Household,Citigroup,1222903,2013,4,7,2013-04-07,2013-04-07,13:05:41,2013-04-07T13:05:41
1367,T00035601,A00000115,Credit,Credit in Cash,7665.0,8465.0,,,,2013,4,7,2013-04-07,2013-04-07,15:23:59,2013-04-07T15:23:59
1368,T00042524,A00000142,Credit,Collection from Another Bank,4555.0,10010.0,Old Age Pension,TD Bank,39513594,2013,4,7,2013-04-07,2013-04-07,08:48:27,2013-04-07T08:48:27
1369,T01108945,A00003787,Credit,Credit in Cash,20950.0,44534.8,,,,2013,4,7,2013-04-07,2013-04-07,09:18:29,2013-04-07T09:18:29
1370,T01176389,A00004034,Credit,Credit in Cash,5080.0,27034.1,,,,2013,4,7,2013-04-07,2013-04-07,14:53:10,2013-04-07T14:53:10
1371,T00649669,A00002220,Credit,Collection from Another Bank,6153.0,13406.0,Old Age Pension,U.S. Bancorp,42469984,2013,4,7,2013-04-07,2013-04-07,09:08:30,2013-04-07T09:08:30
1372,T00144849,A00000485,Debit,Remittance to Another Bank,3572.0,43305.0,Insurance Payment,JPMorgan Chase,20747721,2013,4,7,2013-04-07,2013-04-07,09:52:09,2013-04-07T09:52:09
1373,T00129506,A00000435,Credit,Collection from Another Bank,5039.0,15517.0,Old Age Pension,U.S. Bancorp,22131634,2013,4,7,2013-04-07,2013-04-07,16:15:32,2013-04-07T16:15:32
1374,T00138716,A00000465,Credit,Collection from Another Bank,12785.0,39921.3,,Bank of New York Mellon Corp.,71654224,2013,4,7,2013-04-07,2013-04-07,12:37:26,2013-04-07T12:37:26
1375,T00603924,A00002056,Credit,Credit in Cash,200.0,200.0,,,,2013,4,7,2013-04-07,2013-04-07,11:13:03,2013-04-07T11:13:03
1376,T00347547,A00001179,Credit,Collection from Another Bank,4212.0,13336.0,Old Age Pension,Charles Schwab Corp.,72322171,2013,4,7,2013-04-07,2013-04-07,10:44:60,2013-04-07T10:44:60
1377,T01150611,A00003935,Credit,Credit in Cash,700.0,23436.0,,,,2013,4,7,2013-04-07,2013-04-07,15:51:10,2013-04-07T15:51:10
1378,T00826816,A00002817,Credit,Credit in Cash,13672.0,13672.0,,,,2013,4,7,2013-04-07,2013-04-07,10:18:42,2013-04-07T10:18:42
1379,T00826812,A00002817,Credit,Credit in Cash,200.0,13872.0,,,,2013,4,7,2013-04-07,2013-04-07,15:31:00,2013-04-07T15:31:00
1380,T00148421,A00000496,Credit,Credit in Cash,5404.0,20816.3,,,,2013,4,7,2013-04-07,2013-04-07,09:17:10,2013-04-07T09:17:10
1381,T00118143,A00000396,Credit,Credit in Cash,1100.0,25368.0,,,,2013,4,7,2013-04-07,2013-04-07,13:12:21,2013-04-07T13:12:21
1382,T00542219,A00001844,Credit,Collection from Another Bank,3242.0,13511.8,,Capital One,42988401,2013,4,7,2013-04-07,2013-04-07,13:39:38,2013-04-07T13:39:38
1383,T00541685,A00001843,Credit,Collection from Another Bank,17632.0,49329.8,,TD Bank,76294219,2013,4,7,2013-04-07,2013-04-07,08:35:30,2013-04-07T08:35:30
1384,T00790138,A00002694,Credit,Credit in Cash,5500.0,23839.1,,,,2013,4,7,2013-04-07,2013-04-07,14:34:06,2013-04-07T14:34:06
1385,T01271884,A00004350,Credit,Credit in Cash,17565.0,18565.0,,,,2013,4,7,2013-04-07,2013-04-07,09:35:07,2013-04-07T09:35:07
1386,T00330522,A00001126,Credit,Credit in Cash,7500.0,12787.0,,,,2013,4,7,2013-04-07,2013-04-07,08:03:26,2013-04-07T08:03:26
1387,T00682550,A00002330,Credit,Collection from Another Bank,3395.0,10385.0,,Capital One,18759459,2013,4,7,2013-04-07,2013-04-07,14:37:43,2013-04-07T14:37:43
1388,T01068644,A00003651,Credit,Collection from Another Bank,5081.0,10962.0,Old Age Pension,Charles Schwab Corp.,38447165,2013,4,7,2013-04-07,2013-04-07,13:00:49,2013-04-07T13:00:49
1389,T00557859,A00001898,Credit,Collection from Another Bank,10266.0,11266.0,,U.S. Bancorp,49335420,2013,4,7,2013-04-07,2013-04-07,08:41:06,2013-04-07T08:41:06
1390,T01028006,A00003510,Credit,Credit in Cash,3400.0,25569.5,,,,2013,4,7,2013-04-07,2013-04-07,10:60:14,2013-04-07T10:60:14
1391,T01028984,A00003514,Credit,Collection from Another Bank,3399.0,10826.8,,Wells Fargo & Co.,67514222,2013,4,7,2013-04-07,2013-04-07,10:58:21,2013-04-07T10:58:21
1392,T00375034,A00001276,Debit,Cash Withdrawal,3300.0,26046.8,,,,2013,4,7,2013-04-07,2013-04-07,08:46:45,2013-04-07T08:46:45
1393,T01092161,A00003734,Credit,Credit in Cash,8700.0,14657.4,,,,2013,4,7,2013-04-07,2013-04-07,16:32:19,2013-04-07T16:32:19
1394,T00113876,A00000385,Credit,Credit in Cash,1000.0,1000.0,,,,2013,4,7,2013-04-07,2013-04-07,13:03:04,2013-04-07T13:03:04
1395,T00579377,A00001972,Credit,Collection from Another Bank,5298.0,21658.6,Old Age Pension,Bank of New York Mellon Corp.,14132887,2013,4,7,2013-04-07,2013-04-07,12:05:17,2013-04-07T12:05:17
1396,T00469895,A00001601,Credit,Collection from Another Bank,4042.0,8584.0,Old Age Pension,Bank of America,45886778,2013,4,7,2013-04-07,2013-04-07,15:41:38,2013-04-07T15:41:38
1397,T00699590,A00002393,Debit,Cash Withdrawal,6900.0,29460.3,,,,2013,4,7,2013-04-07,2013-04-07,10:30:50,2013-04-07T10:30:50
1398,T01897320,A00006425,Credit,Credit in Cash,12368.0,13068.0,,,,2013,4,7,2013-04-07,2013-04-07,10:33:43,2013-04-07T10:33:43
1399,T03122928,A00010364,Credit,Credit in Cash,14493.0,44118.1,,,,2013,4,7,2013-04-07,2013-04-07,11:56:00,2013-04-07T11:56:00
1400,T00527447,A00001801,Credit,Credit in Cash,20562.0,89045.8,,,,2013,4,7,2013-04-07,2013-04-07,10:27:40,2013-04-07T10:27:40
1401,T00455167,A00001545,Credit,Credit in Cash,14000.0,14200.0,,,,2013,4,7,2013-04-07,2013-04-07,11:51:49,2013-04-07T11:51:49
1402,T00275976,A00000944,Credit,Credit in Cash,3600.0,21083.2,,,,2013,4,7,2013-04-07,2013-04-07,15:00:57,2013-04-07T15:00:57
1403,T00326330,A00001115,Credit,Collection from Another Bank,3440.0,3740.0,,Bank of America,66125869,2013,4,7,2013-04-07,2013-04-07,13:01:49,2013-04-07T13:01:49
1404,T00292057,A00001000,Credit,Collection from Another Bank,31348.0,73901.5,,Capital One,87163465,2013,4,7,2013-04-07,2013-04-07,11:54:07,2013-04-07T11:54:07
1405,T00737262,A00002519,Credit,Collection from Another Bank,5544.0,17132.0,Old Age Pension,Wells Fargo & Co.,5454445,2013,4,7,2013-04-07,2013-04-07,14:41:51,2013-04-07T14:41:51
1406,T02775583,A00009188,Credit,Collection from Another Bank,12710.0,30019.5,,Wells Fargo & Co.,78292494,2013,4,7,2013-04-07,2013-04-07,08:00:35,2013-04-07T08:00:35
1407,T00893649,A00003047,Credit,Collection from Another Bank,3474.0,7548.0,,Morgan Stanley,47210419,2013,4,7,2013-04-07,2013-04-07,11:21:03,2013-04-07T11:21:03
1408,T00462815,A00001575,Credit,Collection from Another Bank,5448.0,11796.0,Old Age Pension,Goldman Sachs,85748850,2013,4,7,2013-04-07,2013-04-07,12:54:22,2013-04-07T12:54:22
1409,T00710438,A00002429,Debit,Cash Withdrawal,3700.0,31283.5,,,,2013,4,7,2013-04-07,2013-04-07,14:31:52,2013-04-07T14:31:52
1410,T00519755,A00001775,Credit,Collection from Another Bank,6932.0,14764.0,Old Age Pension,Charles Schwab Corp.,16577571,2013,4,7,2013-04-07,2013-04-07,08:20:47,2013-04-07T08:20:47
1411,T00242370,A00000830,Credit,Credit in Cash,16623.0,35601.9,,,,2013,4,8,2013-04-08,2013-04-08,08:53:18,2013-04-08T08:53:18
1412,T00144705,A00000485,Debit,Remittance to Another Bank,7421.0,35884.0,Household,Citigroup,89687889,2013,4,8,2013-04-08,2013-04-08,13:26:14,2013-04-08T13:26:14
1413,T00183009,A00000623,Credit,Collection from Another Bank,3108.0,3308.0,,Charles Schwab Corp.,12306362,2013,4,8,2013-04-08,2013-04-08,13:11:16,2013-04-08T13:11:16
1414,T00340705,A00001157,Credit,Credit in Cash,5588.0,6288.0,,,,2013,4,8,2013-04-08,2013-04-08,12:50:10,2013-04-08T12:50:10
1415,T01345138,A00004596,Credit,Credit in Cash,12200.0,12900.0,,,,2013,4,8,2013-04-08,2013-04-08,08:12:20,2013-04-08T08:12:20
1416,T01238921,A00004240,Credit,Collection from Another Bank,27666.0,69443.1,,Citigroup,17497700,2013,4,8,2013-04-08,2013-04-08,11:34:18,2013-04-08T11:34:18
1417,T00220044,A00000748,Credit,Credit in Cash,700.0,700.0,,,,2013,4,8,2013-04-08,2013-04-08,09:35:18,2013-04-08T09:35:18
1418,T00123333,A00000415,Credit,Credit in Cash,13110.0,31463.6,,,,2013,4,8,2013-04-08,2013-04-08,16:12:40,2013-04-08T16:12:40
1419,T00434656,A00001477,Credit,Collection from Another Bank,3151.0,10176.0,,Morgan Stanley,92373114,2013,4,8,2013-04-08,2013-04-08,09:44:19,2013-04-08T09:44:19
1420,T02501880,A00008260,Credit,Collection from Another Bank,37435.0,37635.0,,U.S. Bancorp,92527162,2013,4,8,2013-04-08,2013-04-08,12:38:46,2013-04-08T12:38:46
1421,T00294484,A00001006,Credit,Collection from Another Bank,3737.0,19821.4,,Charles Schwab Corp.,6088287,2013,4,8,2013-04-08,2013-04-08,09:27:09,2013-04-08T09:27:09
1422,T00727564,A00002488,Credit,Collection from Another Bank,3046.0,3446.0,,JPMorgan Chase,94842952,2013,4,8,2013-04-08,2013-04-08,09:14:53,2013-04-08T09:14:53
1423,T02442702,A00008051,Debit,Cash Withdrawal,13700.0,37958.9,,,,2013,4,8,2013-04-08,2013-04-08,09:39:52,2013-04-08T09:39:52
1424,T00374593,A00001276,Credit,Credit in Cash,6774.0,32820.8,,,,2013,4,8,2013-04-08,2013-04-08,15:11:38,2013-04-08T15:11:38
1425,T00766565,A00002618,Credit,Collection from Another Bank,6559.0,7159.0,Old Age Pension,Wells Fargo & Co.,36180985,2013,4,8,2013-04-08,2013-04-08,12:06:21,2013-04-08T12:06:21
1426,T00612715,A00002087,Debit,Cash Withdrawal,2300.0,25471.1,,,,2013,4,8,2013-04-08,2013-04-08,13:53:49,2013-04-08T13:53:49
1427,T00882365,A00003007,Credit,Credit in Cash,22452.0,57001.1,,,,2013,4,8,2013-04-08,2013-04-08,13:42:38,2013-04-08T13:42:38
1428,T00275679,A00000944,Credit,Credit in Cash,16927.0,38010.2,,,,2013,4,8,2013-04-08,2013-04-08,13:58:28,2013-04-08T13:58:28
1429,T01048372,A00003586,Credit,Credit in Cash,12951.0,13251.0,,,,2013,4,8,2013-04-08,2013-04-08,15:35:43,2013-04-08T15:35:43
1430,T00622123,A00002122,Debit,Cash Withdrawal,26200.0,48204.3,,,,2013,4,8,2013-04-08,2013-04-08,12:39:35,2013-04-08T12:39:35
1431,T00588182,A00002002,Credit,Credit in Cash,400.0,400.0,,,,2013,4,8,2013-04-08,2013-04-08,10:34:38,2013-04-08T10:34:38
1432,T00850027,A00002895,Credit,Credit in Cash,500.0,18990.6,,,,2013,4,8,2013-04-08,2013-04-08,09:47:30,2013-04-08T09:47:30
1433,T00251237,A00000862,Credit,Collection from Another Bank,44333.0,95032.7,,State Street Corp.,2834439,2013,4,8,2013-04-08,2013-04-08,11:55:49,2013-04-08T11:55:49
1434,T00201781,A00000686,Credit,Credit in Cash,10533.0,11633.0,,,,2013,4,8,2013-04-08,2013-04-08,15:44:32,2013-04-08T15:44:32
1435,T01021465,A00003487,Debit,Cash Withdrawal,9600.0,37271.4,,,,2013,4,8,2013-04-08,2013-04-08,08:27:15,2013-04-08T08:27:15
1436,T03402668,A00011295,Credit,Credit in Cash,18347.0,49343.6,,,,2013,4,8,2013-04-08,2013-04-08,11:18:01,2013-04-08T11:18:01
1437,T00929612,A00003168,Credit,Collection from Another Bank,6303.0,13606.0,Old Age Pension,JPMorgan Chase,54928976,2013,4,8,2013-04-08,2013-04-08,09:06:42,2013-04-08T09:06:42
1438,T00655712,A00002241,Debit,Cash Withdrawal,4500.0,27628.6,,,,2013,4,9,2013-04-09,2013-04-09,16:52:13,2013-04-09T16:52:13
1439,T02350079,A00007753,Debit,Cash Withdrawal,27500.0,52103.4,,,,2013,4,9,2013-04-09,2013-04-09,11:43:18,2013-04-09T11:43:18
1440,T00269816,A00000925,Credit,Credit in Cash,18500.0,41721.8,,,,2013,4,9,2013-04-09,2013-04-09,16:46:54,2013-04-09T16:46:54
1441,T00298982,A00001019,Credit,Credit in Cash,19746.0,54989.0,,,,2013,4,9,2013-04-09,2013-04-09,13:55:48,2013-04-09T13:55:48
1442,T00242558,A00000830,Debit,Cash Withdrawal,6400.0,29201.9,,,,2013,4,9,2013-04-09,2013-04-09,13:22:01,2013-04-09T13:22:01
1443,T01075589,A00003675,Credit,Collection from Another Bank,46099.0,46799.0,,TD Bank,52950161,2013,4,9,2013-04-09,2013-04-09,14:50:09,2013-04-09T14:50:09
1444,T01076500,A00003678,Credit,Credit in Cash,8901.0,9701.0,,,,2013,4,9,2013-04-09,2013-04-09,10:35:57,2013-04-09T10:35:57
1445,T00776275,A00002647,Debit,Cash Withdrawal,1200.0,24957.2,,,,2013,4,9,2013-04-09,2013-04-09,10:34:28,2013-04-09T10:34:28
1446,T00538176,A00001830,Debit,Cash Withdrawal,3600.0,28235.8,,,,2013,4,9,2013-04-09,2013-04-09,10:22:12,2013-04-09T10:22:12
1447,T01239178,A00004240,Debit,Cash Withdrawal,22300.0,47143.1,,,,2013,4,9,2013-04-09,2013-04-09,13:47:36,2013-04-09T13:47:36
1448,T00577123,A00001965,Credit,Credit in Cash,300.0,21363.0,,,,2013,4,9,2013-04-09,2013-04-09,09:07:12,2013-04-09T09:07:12
1449,T01614711,A00005483,Credit,Collection from Another Bank,16002.0,17102.0,,TD Bank,6313664,2013,4,9,2013-04-09,2013-04-09,11:58:45,2013-04-09T11:58:45
1450,T01657647,A00005622,Debit,Cash Withdrawal,36800.0,61361.8,,,,2013,4,9,2013-04-09,2013-04-09,10:58:35,2013-04-09T10:58:35
1451,T00749690,A00002555,Credit,Credit in Cash,2900.0,23081.5,,,,2013,4,9,2013-04-09,2013-04-09,13:03:00,2013-04-09T13:03:00
1452,T00293963,A00001005,Credit,Collection from Another Bank,34483.0,63893.6,,TD Bank,48252707,2013,4,9,2013-04-09,2013-04-09,10:33:00,2013-04-09T10:33:00
1453,T00294998,A00001006,Credit,Credit in Cash,2000.0,21821.4,,,,2013,4,9,2013-04-09,2013-04-09,15:04:04,2013-04-09T15:04:04
1454,T00332448,A00001132,Credit,Collection from Another Bank,48098.0,103157.3,,Capital One,32223415,2013,4,9,2013-04-09,2013-04-09,16:02:50,2013-04-09T16:02:50
1455,T00259751,A00000890,Credit,Credit in Cash,7041.0,32833.2,,,,2013,4,9,2013-04-09,2013-04-09,10:55:25,2013-04-09T10:55:25
1456,T00260355,A00000892,Credit,Collection from Another Bank,6177.0,7077.0,Old Age Pension,Goldman Sachs,90831237,2013,4,9,2013-04-09,2013-04-09,10:44:57,2013-04-09T10:44:57
1457,T00810133,A00002762,Credit,Credit in Cash,49303.0,103464.0,,,,2013,4,9,2013-04-09,2013-04-09,12:24:36,2013-04-09T12:24:36
1458,T00858388,A00002926,Credit,Credit in Cash,10584.0,36597.2,,,,2013,4,9,2013-04-09,2013-04-09,11:22:37,2013-04-09T11:22:37
1459,T01091938,A00003734,Credit,Credit in Cash,4939.0,19596.3,,,,2013,4,9,2013-04-09,2013-04-09,13:18:17,2013-04-09T13:18:17
1460,T00073951,A00000244,Credit,Credit in Cash,3600.0,22488.0,,,,2013,4,9,2013-04-09,2013-04-09,11:53:02,2013-04-09T11:53:02
1461,T00110787,A00000374,Debit,Cash Withdrawal,13600.0,42716.1,,,,2013,4,9,2013-04-09,2013-04-09,14:55:45,2013-04-09T14:55:45
1462,T00063716,A00000212,Credit,Collection from Another Bank,49590.0,104697.3,,Goldman Sachs,58325630,2013,4,9,2013-04-09,2013-04-09,15:21:39,2013-04-09T15:21:39
1463,T00065998,A00000220,Credit,Credit in Cash,400.0,400.0,,,,2013,4,9,2013-04-09,2013-04-09,08:38:57,2013-04-09T08:38:57
1464,T00581703,A00001979,Credit,Collection from Another Bank,3021.0,9963.0,,Bank of New York Mellon Corp.,38265723,2013,4,9,2013-04-09,2013-04-09,11:14:56,2013-04-09T11:14:56
1465,T00494945,A00001688,Credit,Collection from Another Bank,5439.0,11678.0,Old Age Pension,TD Bank,99495708,2013,4,9,2013-04-09,2013-04-09,14:20:01,2013-04-09T14:20:01
1466,T00771039,A00002632,Credit,Credit in Cash,14264.0,47593.3,,,,2013,4,9,2013-04-09,2013-04-09,10:26:20,2013-04-09T10:26:20
1467,T01084400,A00003704,Credit,Collection from Another Bank,6242.0,19226.0,Old Age Pension,JPMorgan Chase,11927444,2013,4,9,2013-04-09,2013-04-09,16:23:14,2013-04-09T16:23:14
1468,T01080841,A00003691,Credit,Collection from Another Bank,6540.0,13480.0,Old Age Pension,Charles Schwab Corp.,86339687,2013,4,9,2013-04-09,2013-04-09,11:21:45,2013-04-09T11:21:45
1469,T01162316,A00003980,Credit,Credit in Cash,8555.0,9355.0,,,,2013,4,9,2013-04-09,2013-04-09,11:29:19,2013-04-09T11:29:19
1470,T02776159,A00009188,Debit,Cash Withdrawal,2400.0,27619.5,,,,2013,4,9,2013-04-09,2013-04-09,09:16:13,2013-04-09T09:16:13
1471,T00506719,A00001730,Debit,Cash Withdrawal,400.0,20567.0,,,,2013,4,9,2013-04-09,2013-04-09,14:19:45,2013-04-09T14:19:45
1472,T00847085,A00002884,Debit,Cash Withdrawal,700.0,20407.2,,,,2013,4,9,2013-04-09,2013-04-09,10:28:17,2013-04-09T10:28:17
1473,T00419277,A00001422,Credit,Credit in Cash,400.0,400.0,,,,2013,4,9,2013-04-09,2013-04-09,09:41:12,2013-04-09T09:41:12
1474,T00192100,A00000652,Credit,Credit in Cash,13851.0,46718.5,,,,2013,4,9,2013-04-09,2013-04-09,12:23:38,2013-04-09T12:23:38
1475,T01117251,A00003818,Credit,Credit in Cash,17366.0,53481.3,,,,2013,4,9,2013-04-09,2013-04-09,09:40:08,2013-04-09T09:40:08
1476,T00696166,A00002379,Debit,Cash Withdrawal,500.0,26961.4,,,,2013,4,10,2013-04-10,2013-04-10,13:26:01,2013-04-10T13:26:01
1477,T00695724,A00002379,Credit,Credit in Cash,5072.0,27461.4,,,,2013,4,10,2013-04-10,2013-04-10,12:52:01,2013-04-10T12:52:01
1478,T00555300,A00001891,Credit,Credit in Cash,800.0,800.0,,,,2013,4,10,2013-04-10,2013-04-10,13:05:34,2013-04-10T13:05:34
1479,T01108021,A00003785,Credit,Credit in Cash,23842.0,24042.0,,,,2013,4,10,2013-04-10,2013-04-10,09:46:53,2013-04-10T09:46:53
1480,T01109449,A00003788,Credit,Credit in Cash,300.0,300.0,,,,2013,4,10,2013-04-10,2013-04-10,16:33:58,2013-04-10T16:33:58
1481,T00337949,A00001147,Credit,Credit in Cash,400.0,400.0,,,,2013,4,10,2013-04-10,2013-04-10,16:07:17,2013-04-10T16:07:17
1482,T00333670,A00001134,Debit,Cash Withdrawal,4800.0,27798.1,,,,2013,4,10,2013-04-10,2013-04-10,16:46:49,2013-04-10T16:46:49
